"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SVK","TRUSTGOV","TOT","PC","A","2016",37.2222144207557,
"SVK","TRUSTGOV","TOT","PC","A","2017",34.1680088348464,
"SVK","TRUSTGOV","TOT","PC","A","2018",32.7658610588874,
"SVK","TRUSTGOV","TOT","PC","A","2019",23.097283281603,
"SVK","TRUSTGOV","TOT","PC","A","2020",30.7444519017386,
"ESP","TRUSTGOV","TOT","PC","A","2016",30.2516670288051,
"ESP","TRUSTGOV","TOT","PC","A","2017",26.9585960029324,
"ESP","TRUSTGOV","TOT","PC","A","2018",28.5195625416916,
"ESP","TRUSTGOV","TOT","PC","A","2019",36.7785864601752,
"ESP","TRUSTGOV","TOT","PC","A","2020",38.1767100934638,
"SWE","TRUSTGOV","TOT","PC","A","2016",48.5791323327063,
"SWE","TRUSTGOV","TOT","PC","A","2017",55.9461971097114,
"SWE","TRUSTGOV","TOT","PC","A","2018",49.4396245863266,
"SWE","TRUSTGOV","TOT","PC","A","2019",51.3281754260437,
"SWE","TRUSTGOV","TOT","PC","A","2020",67.107864752608,
"CHE","TRUSTGOV","TOT","PC","A","2016",79.8536703227829,
"CHE","TRUSTGOV","TOT","PC","A","2017",81.9706762988938,
"CHE","TRUSTGOV","TOT","PC","A","2018",84.9979467153876,
"CHE","TRUSTGOV","TOT","PC","A","2019",80.6612709030345,
"CHE","TRUSTGOV","TOT","PC","A","2020",84.6330707358843,
"GBR","TRUSTGOV","TOT","PC","A","2016",40.8632065380894,
"GBR","TRUSTGOV","TOT","PC","A","2017",44.0120840347786,
"GBR","TRUSTGOV","TOT","PC","A","2018",42.0859860924225,
"GBR","TRUSTGOV","TOT","PC","A","2019",34.0828862506267,
"GBR","TRUSTGOV","TOT","PC","A","2020",34.6972844445844,
"EST","TRUSTGOV","TOT","PC","A","2016",33.9834292244028,
"EST","TRUSTGOV","TOT","PC","A","2017",40.5946252795802,
"EST","TRUSTGOV","TOT","PC","A","2018",42.0202570984739,
"EST","TRUSTGOV","TOT","PC","A","2019",40.3306536840262,
"EST","TRUSTGOV","TOT","PC","A","2020",46.4805976813481,
"LVA","TRUSTGOV","TOT","PC","A","2016",31.526129414469,
"LVA","TRUSTGOV","TOT","PC","A","2017",26.400049963566,
"LVA","TRUSTGOV","TOT","PC","A","2018",19.7162297606406,
"LVA","TRUSTGOV","TOT","PC","A","2019",23.9407668132642,
"LVA","TRUSTGOV","TOT","PC","A","2020",30.6789062455792,
"LTU","TRUSTGOV","TOT","PC","A","2016",27.9638569949356,
"LTU","TRUSTGOV","TOT","PC","A","2017",32.1247271514443,
"LTU","TRUSTGOV","TOT","PC","A","2018",32.3758095347415,
"LTU","TRUSTGOV","TOT","PC","A","2019",40.7248459410706,
"LTU","TRUSTGOV","TOT","PC","A","2020",47.4045330413199,
"SVN","TRUSTGOV","TOT","PC","A","2016",24.9845105649616,
"SVN","TRUSTGOV","TOT","PC","A","2017",23.9779723817359,
"SVN","TRUSTGOV","TOT","PC","A","2018",23.9274635749516,
"SVN","TRUSTGOV","TOT","PC","A","2019",39.7150714930083,
"SVN","TRUSTGOV","TOT","PC","A","2020",45.2974234162068,
